,item,date,sales
204,1,2016-48,1503
205,1,2016-49,1285
206,1,2016-50,1233
207,1,2016-51,1283
208,1,2016-52,1067
209,1,2016-53,585
210,1,2017-01,1171
211,1,2017-02,1231
212,1,2017-03,1215
213,1,2017-04,1134
214,1,2017-05,1281
215,1,2017-06,1349
216,1,2017-07,1314
217,1,2017-08,1315
218,1,2017-09,1496
219,1,2017-10,1496
220,1,2017-11,1569
221,1,2017-12,1478
222,1,2017-13,1609
223,1,2017-14,1809
224,1,2017-15,1868
225,1,2017-16,1854
226,1,2017-17,1812
227,1,2017-18,1980
228,1,2017-19,1899
229,1,2017-20,1967
230,1,2017-21,1971
231,1,2017-22,1997
232,1,2017-23,2112
233,1,2017-24,2097
234,1,2017-25,2078
235,1,2017-26,2119
236,1,2017-27,2227
237,1,2017-28,2261
238,1,2017-29,2239
239,1,2017-30,2247
240,1,2017-31,1947
241,1,2017-32,1961
242,1,2017-33,1926
243,1,2017-34,1948
244,1,2017-35,1887
245,1,2017-36,1839
246,1,2017-37,1859
247,1,2017-38,1822
248,1,2017-39,1759
249,1,2017-40,1779
250,1,2017-41,1767
251,1,2017-42,1709
252,1,2017-43,1656
253,1,2017-44,1760
254,1,2017-45,1748
255,1,2017-46,1826
256,1,2017-47,1836
257,1,2017-48,1549
258,1,2017-49,1288
259,1,2017-50,1300
260,1,2017-51,1284
261,1,2017-52,1508
262,2,2013-01,2732
263,2,2013-02,2350
264,2,2013-03,2427
265,2,2013-04,2329
266,2,2013-05,2414
267,2,2013-06,2619
268,2,2013-07,2631
269,2,2013-08,2561
270,2,2013-09,2781
271,2,2013-10,3105
272,2,2013-11,3168
273,2,2013-12,3119
274,2,2013-13,3079
275,2,2013-14,3580
276,2,2013-15,3520
277,2,2013-16,3500
278,2,2013-17,3445
279,2,2013-18,3819
280,2,2013-19,3823
281,2,2013-20,3964
282,2,2013-21,3815
283,2,2013-22,3982
284,2,2013-23,4147
285,2,2013-24,4067
286,2,2013-25,4078
287,2,2013-26,4162
288,2,2013-27,4419
289,2,2013-28,4300
290,2,2013-29,4415
291,2,2013-30,4390
292,2,2013-31,3949
293,2,2013-32,3938
294,2,2013-33,3880
295,2,2013-34,3889
296,2,2013-35,3816
297,2,2013-36,3541
298,2,2013-37,3580
299,2,2013-38,3684
300,2,2013-39,3535
301,2,2013-40,3406
302,2,2013-41,3361
303,2,2013-42,3273
304,2,2013-43,3344
305,2,2013-44,3455
306,2,2013-45,3580
307,2,2013-46,3710
308,2,2013-47,3632
309,2,2013-48,3422
310,2,2013-49,2584
311,2,2013-50,2564
312,2,2013-51,2582
313,2,2013-52,2630
314,2,2014-01,3292
315,2,2014-02,2657
316,2,2014-03,2651
317,2,2014-04,2666
318,2,2014-05,2866
319,2,2014-06,3020
320,2,2014-07,3058
321,2,2014-08,2966
322,2,2014-09,3148
323,2,2014-10,3684
324,2,2014-11,3591
325,2,2014-12,3546
326,2,2014-13,3575
327,2,2014-14,4017
328,2,2014-15,4204
329,2,2014-16,4195
330,2,2014-17,4157
331,2,2014-18,4325
332,2,2014-19,4553
333,2,2014-20,4346
334,2,2014-21,4390
335,2,2014-22,4527
336,2,2014-23,4741
337,2,2014-24,4713
338,2,2014-25,4682
339,2,2014-26,4769
340,2,2014-27,4943
341,2,2014-28,4960
342,2,2014-29,4977
343,2,2014-30,5143
344,2,2014-31,4734
345,2,2014-32,4366
346,2,2014-33,4393
347,2,2014-34,4453
348,2,2014-35,4384
349,2,2014-36,4164
350,2,2014-37,4042
351,2,2014-38,4203
352,2,2014-39,4171
353,2,2014-40,3863
354,2,2014-41,3746
355,2,2014-42,3818
356,2,2014-43,3944
357,2,2014-44,3910
358,2,2014-45,4118
359,2,2014-46,4119
360,2,2014-47,3978
361,2,2014-48,4079
362,2,2014-49,3019
363,2,2014-50,3021
364,2,2014-51,2931
365,2,2014-52,2991
366,2,2015-01,1772
367,2,2015-02,2817
368,2,2015-03,2773
369,2,2015-04,2828
370,2,2015-05,2862
371,2,2015-06,3094
372,2,2015-07,3113
373,2,2015-08,3065
374,2,2015-09,3175
375,2,2015-10,3749
376,2,2015-11,3630
377,2,2015-12,3734
378,2,2015-13,3736
379,2,2015-14,4153
380,2,2015-15,4225
381,2,2015-16,4310
382,2,2015-17,4321
383,2,2015-18,4446
384,2,2015-19,4657
385,2,2015-20,4636
386,2,2015-21,4732
387,2,2015-22,4686
388,2,2015-23,5007
389,2,2015-24,4903
390,2,2015-25,4881
391,2,2015-26,4857
392,2,2015-27,5230
393,2,2015-28,5124
394,2,2015-29,5135
395,2,2015-30,5148
396,2,2015-31,5046
397,2,2015-32,4703
398,2,2015-33,4618
399,2,2015-34,4749
400,2,2015-35,4692
401,2,2015-36,4384
402,2,2015-37,4348
403,2,2015-38,4319
404,2,2015-39,4387
405,2,2015-40,4158
406,2,2015-41,3948
407,2,2015-42,4013
408,2,2015-43,3991
409,2,2015-44,4092
410,2,2015-45,4318
411,2,2015-46,4354
412,2,2015-47,4347
413,2,2015-48,4337
414,2,2015-49,3257
415,2,2015-50,3105
416,2,2015-51,3098
417,2,2015-52,3093
418,2,2015-53,1642
419,2,2016-01,2975
420,2,2016-02,3117
421,2,2016-03,3076
422,2,2016-04,2932
423,2,2016-05,3419
424,2,2016-06,3334
425,2,2016-07,3394
426,2,2016-08,3369
427,2,2016-09,3995
428,2,2016-10,4008
429,2,2016-11,4145
430,2,2016-12,4033
431,2,2016-13,4265
432,2,2016-14,4632
433,2,2016-15,4634
434,2,2016-16,4648
435,2,2016-17,4781
436,2,2016-18,5077
437,2,2016-19,5129
438,2,2016-20,5108
439,2,2016-21,5021
440,2,2016-22,5309
441,2,2016-23,5305
442,2,2016-24,5301
443,2,2016-25,5276
444,2,2016-26,5460
445,2,2016-27,5641
446,2,2016-28,5617
447,2,2016-29,5678
448,2,2016-30,5534
449,2,2016-31,5049
450,2,2016-32,5048
451,2,2016-33,5052
452,2,2016-34,4982
453,2,2016-35,4832
454,2,2016-36,4641
455,2,2016-37,4641
456,2,2016-38,4834
457,2,2016-39,4593
458,2,2016-40,4366
459,2,2016-41,4413
460,2,2016-42,4368
461,2,2016-43,4419
462,2,2016-44,4651
463,2,2016-45,4700
464,2,2016-46,4691
465,2,2016-47,4644
466,2,2016-48,3902
467,2,2016-49,3362
468,2,2016-50,3380
469,2,2016-51,3406
470,2,2016-52,2773
471,2,2016-53,1480
472,2,2017-01,3029
473,2,2017-02,3112
474,2,2017-03,3077
475,2,2017-04,3017
476,2,2017-05,3349
477,2,2017-06,3549
478,2,2017-07,3551
479,2,2017-08,3509
480,2,2017-09,4070
481,2,2017-10,4155
482,2,2017-11,4129
483,2,2017-12,4078
484,2,2017-13,4308
485,2,2017-14,4912
486,2,2017-15,4905
487,2,2017-16,4844
488,2,2017-17,4903
489,2,2017-18,5194
490,2,2017-19,5219
491,2,2017-20,5392
492,2,2017-21,5159
493,2,2017-22,5545
494,2,2017-23,5679
495,2,2017-24,5680
496,2,2017-25,5419
497,2,2017-26,5694
498,2,2017-27,5866
499,2,2017-28,5897
500,2,2017-29,5868
501,2,2017-30,5920
502,2,2017-31,5272
503,2,2017-32,5181
504,2,2017-33,5101
505,2,2017-34,5223
506,2,2017-35,5032
507,2,2017-36,4868
508,2,2017-37,4824
509,2,2017-38,5111
510,2,2017-39,4893
511,2,2017-40,4501
512,2,2017-41,4445
513,2,2017-42,4470
514,2,2017-43,4428
515,2,2017-44,4737
516,2,2017-45,4911
517,2,2017-46,4826
518,2,2017-47,4811
519,2,2017-48,4248
520,2,2017-49,3494
521,2,2017-50,3536
522,2,2017-51,3397
523,2,2017-52,4083
524,3,2013-01,1616
525,3,2013-02,1472
526,3,2013-03,1452
527,3,2013-04,1443
528,3,2013-05,1485
529,3,2013-06,1658
530,3,2013-07,1603
531,3,2013-08,1650
532,3,2013-09,1798
533,3,2013-10,1915
534,3,2013-11,1872
535,3,2013-12,1918
536,3,2013-13,1895
537,3,2013-14,2276
538,3,2013-15,2250
539,3,2013-16,2288
540,3,2013-17,2283
541,3,2013-18,2441
542,3,2013-19,2418
543,3,2013-20,2424
544,3,2013-21,2436
545,3,2013-22,2514
546,3,2013-23,2566
547,3,2013-24,2564
548,3,2013-25,2521
549,3,2013-26,2616
550,3,2013-27,2724
551,3,2013-28,2713
552,3,2013-29,2820
553,3,2013-30,2794
554,3,2013-31,2514
555,3,2013-32,2480
556,3,2013-33,2384
557,3,2013-34,2339
558,3,2013-35,2397
559,3,2013-36,2305
560,3,2013-37,2232
561,3,2013-38,2219
562,3,2013-39,2331
563,3,2013-40,2099
564,3,2013-41,2078
565,3,2013-42,2064
566,3,2013-43,2066
567,3,2013-44,2135
568,3,2013-45,2286
569,3,2013-46,2196
570,3,2013-47,2259
571,3,2013-48,2163
572,3,2013-49,1630
573,3,2013-50,1663
574,3,2013-51,1624
575,3,2013-52,1523
576,3,2014-01,1902
577,3,2014-02,1750
578,3,2014-03,1664
579,3,2014-04,1705
580,3,2014-05,1668
581,3,2014-06,1872
582,3,2014-07,1802
583,3,2014-08,1902
584,3,2014-09,1948
585,3,2014-10,2192
586,3,2014-11,2178
587,3,2014-12,2221
588,3,2014-13,2214
589,3,2014-14,2414
590,3,2014-15,2605
591,3,2014-16,2593
592,3,2014-17,2566
593,3,2014-18,2658
594,3,2014-19,2755
595,3,2014-20,2850
596,3,2014-21,2712
597,3,2014-22,2831
598,3,2014-23,3057
599,3,2014-24,2992
600,3,2014-25,3025
601,3,2014-26,3036
602,3,2014-27,3051
603,3,2014-28,3123
604,3,2014-29,3175
605,3,2014-30,3139
606,3,2014-31,2967
607,3,2014-32,2775
608,3,2014-33,2789
609,3,2014-34,2755
610,3,2014-35,2705
611,3,2014-36,2549
612,3,2014-37,2568
613,3,2014-38,2607
614,3,2014-39,2633
615,3,2014-40,2409
616,3,2014-41,2462
617,3,2014-42,2332
618,3,2014-43,2405
619,3,2014-44,2468
620,3,2014-45,2661
621,3,2014-46,2528
622,3,2014-47,2604
623,3,2014-48,2528
624,3,2014-49,1892
625,3,2014-50,1949
626,3,2014-51,1898
627,3,2014-52,1820
628,3,2015-01,1104
629,3,2015-02,1712
630,3,2015-03,1784
631,3,2015-04,1738
632,3,2015-05,1814
633,3,2015-06,1891
634,3,2015-07,1869
635,3,2015-08,1918
636,3,2015-09,1961
637,3,2015-10,2355
638,3,2015-11,2371
639,3,2015-12,2251
640,3,2015-13,2274
641,3,2015-14,2597
642,3,2015-15,2764
643,3,2015-16,2740
644,3,2015-17,2628
645,3,2015-18,2749
646,3,2015-19,2879
647,3,2015-20,2914
648,3,2015-21,2907
649,3,2015-22,2867
650,3,2015-23,3147
651,3,2015-24,3256
652,3,2015-25,3058
653,3,2015-26,3132
654,3,2015-27,3172
655,3,2015-28,3308
656,3,2015-29,3306
657,3,2015-30,3302
658,3,2015-31,3150
659,3,2015-32,2940
660,3,2015-33,2930
661,3,2015-34,2911
662,3,2015-35,2921
663,3,2015-36,2715
664,3,2015-37,2738
665,3,2015-38,2772
666,3,2015-39,2723
667,3,2015-40,2587
668,3,2015-41,2488
669,3,2015-42,2507
670,3,2015-43,2579
671,3,2015-44,2651
672,3,2015-45,2680
673,3,2015-46,2737
674,3,2015-47,2734
675,3,2015-48,2745
676,3,2015-49,2006
677,3,2015-50,1958
678,3,2015-51,1940
679,3,2015-52,1953
680,3,2015-53,1045
681,3,2016-01,1937
682,3,2016-02,1866
683,3,2016-03,1823
684,3,2016-04,1982
685,3,2016-05,2055
686,3,2016-06,2080
687,3,2016-07,2079
688,3,2016-08,2066
689,3,2016-09,2488
690,3,2016-10,2513
691,3,2016-11,2514
692,3,2016-12,2523
693,3,2016-13,2617
694,3,2016-14,3048
695,3,2016-15,2945
696,3,2016-16,2828
697,3,2016-17,3027
698,3,2016-18,3181
699,3,2016-19,3097
700,3,2016-20,3028
701,3,2016-21,3145
702,3,2016-22,3311
703,3,2016-23,3418
704,3,2016-24,3322
705,3,2016-25,3313
706,3,2016-26,3404
707,3,2016-27,3539
708,3,2016-28,3529
709,3,2016-29,3627
710,3,2016-30,3516
711,3,2016-31,3049
712,3,2016-32,3185
713,3,2016-33,3105
714,3,2016-34,3168
715,3,2016-35,2926
716,3,2016-36,2879
717,3,2016-37,2994
718,3,2016-38,2856
719,3,2016-39,2911
720,3,2016-40,2676
721,3,2016-41,2744
722,3,2016-42,2663
723,3,2016-43,2750
724,3,2016-44,2947
725,3,2016-45,2852
726,3,2016-46,2970
727,3,2016-47,2945
728,3,2016-48,2427
729,3,2016-49,2118
730,3,2016-50,2043
731,3,2016-51,2059
732,3,2016-52,1784
733,3,2016-53,919
734,3,2017-01,1904
735,3,2017-02,1973
736,3,2017-03,1952
737,3,2017-04,1979
738,3,2017-05,2125
739,3,2017-06,2166
740,3,2017-07,2236
741,3,2017-08,2113
742,3,2017-09,2551
743,3,2017-10,2546
744,3,2017-11,2638
745,3,2017-12,2634
746,3,2017-13,2732
747,3,2017-14,3061
748,3,2017-15,2937
749,3,2017-16,3085
750,3,2017-17,3020
751,3,2017-18,3385
752,3,2017-19,3182
753,3,2017-20,3392
754,3,2017-21,3265
755,3,2017-22,3330
756,3,2017-23,3468
757,3,2017-24,3428
758,3,2017-25,3501
759,3,2017-26,3474
760,3,2017-27,3797
761,3,2017-28,3745
762,3,2017-29,3708
763,3,2017-30,3709
764,3,2017-31,3200
765,3,2017-32,3268
766,3,2017-33,3385
767,3,2017-34,3353
768,3,2017-35,3146
769,3,2017-36,3030
770,3,2017-37,3034
771,3,2017-38,3036
772,3,2017-39,2902
773,3,2017-40,2760
774,3,2017-41,2835
775,3,2017-42,2882
776,3,2017-43,2766
777,3,2017-44,3031
778,3,2017-45,3141
779,3,2017-46,3139
780,3,2017-47,3062
781,3,2017-48,2603
782,3,2017-49,2183
783,3,2017-50,2230
784,3,2017-51,2216
785,3,2017-52,2564
786,4,2013-01,979
787,4,2013-02,832
788,4,2013-03,867
789,4,2013-04,834
790,4,2013-05,926
791,4,2013-06,952
792,4,2013-07,990
793,4,2013-08,984
794,4,2013-09,1099
795,4,2013-10,1175
796,4,2013-11,1100
797,4,2013-12,1192
798,4,2013-13,1199
799,4,2013-14,1362
800,4,2013-15,1428
801,4,2013-16,1384
802,4,2013-17,1335
803,4,2013-18,1457
804,4,2013-19,1429
805,4,2013-20,1471
806,4,2013-21,1414
807,4,2013-22,1502
808,4,2013-23,1599
809,4,2013-24,1585
810,4,2013-25,1482
811,4,2013-26,1516
812,4,2013-27,1568
813,4,2013-28,1693
814,4,2013-29,1662
815,4,2013-30,1612
816,4,2013-31,1569
817,4,2013-32,1455
818,4,2013-33,1501
819,4,2013-34,1508
820,4,2013-35,1467
821,4,2013-36,1376
822,4,2013-37,1348
823,4,2013-38,1393
824,4,2013-39,1344
825,4,2013-40,1310
826,4,2013-41,1271
827,4,2013-42,1251
828,4,2013-43,1272
829,4,2013-44,1296
830,4,2013-45,1364
831,4,2013-46,1396
832,4,2013-47,1366
833,4,2013-48,1269
834,4,2013-49,983
835,4,2013-50,979
836,4,2013-51,960
837,4,2013-52,1003
838,4,2014-01,1140
839,4,2014-02,981
840,4,2014-03,956
841,4,2014-04,979
842,4,2014-05,1031
843,4,2014-06,1081
844,4,2014-07,1107
845,4,2014-08,1053
846,4,2014-09,1209
847,4,2014-10,1321
848,4,2014-11,1311
849,4,2014-12,1351
850,4,2014-13,1356
851,4,2014-14,1537
852,4,2014-15,1567
853,4,2014-16,1614
854,4,2014-17,1502
855,4,2014-18,1642
856,4,2014-19,1638
857,4,2014-20,1690
858,4,2014-21,1621
859,4,2014-22,1680
860,4,2014-23,1797
861,4,2014-24,1751
862,4,2014-25,1833
863,4,2014-26,1784
864,4,2014-27,1916
865,4,2014-28,1870
866,4,2014-29,1982
867,4,2014-30,1877
868,4,2014-31,1736
869,4,2014-32,1711
870,4,2014-33,1714
871,4,2014-34,1644
872,4,2014-35,1664
873,4,2014-36,1588
874,4,2014-37,1596
875,4,2014-38,1529
876,4,2014-39,1552
877,4,2014-40,1579
878,4,2014-41,1429
879,4,2014-42,1461
880,4,2014-43,1393
881,4,2014-44,1484
882,4,2014-45,1636
883,4,2014-46,1589
884,4,2014-47,1593
885,4,2014-48,1513
886,4,2014-49,1117
887,4,2014-50,1117
888,4,2014-51,1151
889,4,2014-52,1057
890,4,2015-01,678
891,4,2015-02,1071
892,4,2015-03,1030
893,4,2015-04,1029
894,4,2015-05,1059
895,4,2015-06,1169
896,4,2015-07,1172
897,4,2015-08,1108
898,4,2015-09,1183
899,4,2015-10,1435
900,4,2015-11,1361
901,4,2015-12,1366
902,4,2015-13,1391
903,4,2015-14,1619
904,4,2015-15,1672
905,4,2015-16,1634
906,4,2015-17,1656
907,4,2015-18,1698
908,4,2015-19,1762
909,4,2015-20,1879
910,4,2015-21,1686
911,4,2015-22,1799
912,4,2015-23,1944
913,4,2015-24,1857
914,4,2015-25,1859
915,4,2015-26,1937
916,4,2015-27,1957
917,4,2015-28,1937
918,4,2015-29,1972
919,4,2015-30,1950
920,4,2015-31,1925
921,4,2015-32,1691
922,4,2015-33,1708
923,4,2015-34,1754
924,4,2015-35,1728
925,4,2015-36,1694
926,4,2015-37,1652
927,4,2015-38,1652
928,4,2015-39,1580
929,4,2015-40,1578
930,4,2015-41,1563
931,4,2015-42,1463
932,4,2015-43,1498
933,4,2015-44,1464
934,4,2015-45,1618
935,4,2015-46,1587
936,4,2015-47,1595
937,4,2015-48,1689
938,4,2015-49,1256
939,4,2015-50,1148
940,4,2015-51,1142
941,4,2015-52,1136
942,4,2015-53,569
943,4,2016-01,1126
944,4,2016-02,1133
945,4,2016-03,1155
946,4,2016-04,1106
947,4,2016-05,1325
948,4,2016-06,1272
949,4,2016-07,1265
950,4,2016-08,1309
951,4,2016-09,1455
952,4,2016-10,1505
953,4,2016-11,1570
954,4,2016-12,1465
955,4,2016-13,1642
956,4,2016-14,1733
957,4,2016-15,1756
958,4,2016-16,1792
959,4,2016-17,1746
960,4,2016-18,1872
961,4,2016-19,1963
962,4,2016-20,1888
963,4,2016-21,1869
964,4,2016-22,2025
965,4,2016-23,2056
966,4,2016-24,1924
967,4,2016-25,2088
968,4,2016-26,2035
969,4,2016-27,2116
970,4,2016-28,2081
971,4,2016-29,2163
972,4,2016-30,2114
973,4,2016-31,1910
974,4,2016-32,1917
975,4,2016-33,1913
976,4,2016-34,1871
977,4,2016-35,1800
978,4,2016-36,1762
979,4,2016-37,1788
980,4,2016-38,1730
981,4,2016-39,1689
982,4,2016-40,1627
983,4,2016-41,1629
984,4,2016-42,1632
985,4,2016-43,1543
986,4,2016-44,1717
987,4,2016-45,1865
988,4,2016-46,1714
989,4,2016-47,1717
990,4,2016-48,1457
991,4,2016-49,1302
992,4,2016-50,1245
993,4,2016-51,1299
994,4,2016-52,1013
995,4,2016-53,536
996,4,2017-01,1142
997,4,2017-02,1153
998,4,2017-03,1197
999,4,2017-04,1143
1000,4,2017-05,1288
1001,4,2017-06,1234
1002,4,2017-07,1309
1003,4,2017-08,1231
1004,4,2017-09,1472
1005,4,2017-10,1506
1006,4,2017-11,1539
1007,4,2017-12,1624
1008,4,2017-13,1602
1009,4,2017-14,1716
1010,4,2017-15,1833
1011,4,2017-16,1892
1012,4,2017-17,1882
1013,4,2017-18,1946
1014,4,2017-19,1953
1015,4,2017-20,1939
1016,4,2017-21,1949
1017,4,2017-22,2038
1018,4,2017-23,2108
1019,4,2017-24,2033
1020,4,2017-25,2105
1021,4,2017-26,2197
1022,4,2017-27,2203
1023,4,2017-28,2212
1024,4,2017-29,2158
1025,4,2017-30,2252
1026,4,2017-31,1946
1027,4,2017-32,1926
1028,4,2017-33,1964
1029,4,2017-34,1950
1030,4,2017-35,1874
1031,4,2017-36,1821
1032,4,2017-37,1800
1033,4,2017-38,1755
1034,4,2017-39,1823
1035,4,2017-40,1681
1036,4,2017-41,1780
1037,4,2017-42,1688
1038,4,2017-43,1729
1039,4,2017-44,1685
1040,4,2017-45,1875
1041,4,2017-46,1804
1042,4,2017-47,1875
1043,4,2017-48,1570
1044,4,2017-49,1297
1045,4,2017-50,1277
1046,4,2017-51,1309
1047,4,2017-52,1498
1048,5,2013-01,794
1049,5,2013-02,692
1050,5,2013-03,701
1051,5,2013-04,742
1052,5,2013-05,758
1053,5,2013-06,785
1054,5,2013-07,811
1055,5,2013-08,823
1056,5,2013-09,851
1057,5,2013-10,945
1058,5,2013-11,994
1059,5,2013-12,951
1060,5,2013-13,984
1061,5,2013-14,1106
1062,5,2013-15,1084
1063,5,2013-16,1099
1064,5,2013-17,1143
1065,5,2013-18,1196
1066,5,2013-19,1188
1067,5,2013-20,1254
1068,5,2013-21,1217
1069,5,2013-22,1275
1070,5,2013-23,1301
1071,5,2013-24,1313
1072,5,2013-25,1280
1073,5,2013-26,1306
1074,5,2013-27,1381
1075,5,2013-28,1344
1076,5,2013-29,1349
1077,5,2013-30,1381
1078,5,2013-31,1243
1079,5,2013-32,1159
1080,5,2013-33,1195
1081,5,2013-34,1255
1082,5,2013-35,1202
1083,5,2013-36,1111
1084,5,2013-37,1192
1085,5,2013-38,1146
1086,5,2013-39,1076
1087,5,2013-40,1071
1088,5,2013-41,1004
1089,5,2013-42,1067
1090,5,2013-43,1033
1091,5,2013-44,1110
1092,5,2013-45,1130
1093,5,2013-46,1099
1094,5,2013-47,1142
1095,5,2013-48,1110
1096,5,2013-49,835
1097,5,2013-50,785
1098,5,2013-51,798
1099,5,2013-52,810
1100,5,2014-01,945
1101,5,2014-02,847
1102,5,2014-03,809
1103,5,2014-04,872
1104,5,2014-05,872
1105,5,2014-06,932
1106,5,2014-07,921
1107,5,2014-08,909
1108,5,2014-09,1008
1109,5,2014-10,1087
1110,5,2014-11,1112
1111,5,2014-12,1035
1112,5,2014-13,1106
1113,5,2014-14,1308
1114,5,2014-15,1260
1115,5,2014-16,1317
1116,5,2014-17,1326
1117,5,2014-18,1353
1118,5,2014-19,1381
1119,5,2014-20,1495
1120,5,2014-21,1414
1121,5,2014-22,1457
1122,5,2014-23,1416
1123,5,2014-24,1556
1124,5,2014-25,1466
1125,5,2014-26,1433
1126,5,2014-27,1578
1127,5,2014-28,1629
1128,5,2014-29,1525
1129,5,2014-30,1616
1130,5,2014-31,1460
1131,5,2014-32,1354
1132,5,2014-33,1397
1133,5,2014-34,1356
1134,5,2014-35,1412
1135,5,2014-36,1240
1136,5,2014-37,1314
1137,5,2014-38,1270
1138,5,2014-39,1289
1139,5,2014-40,1205
1140,5,2014-41,1163
1141,5,2014-42,1155
1142,5,2014-43,1214
1143,5,2014-44,1162
1144,5,2014-45,1327
1145,5,2014-46,1302
1146,5,2014-47,1279
1147,5,2014-48,1318
1148,5,2014-49,919
1149,5,2014-50,897
1150,5,2014-51,894
1151,5,2014-52,957
1152,5,2015-01,546
1153,5,2015-02,926
1154,5,2015-03,839
1155,5,2015-04,860
1156,5,2015-05,919
1157,5,2015-06,995
